shipment_id,expected_eta_hours,actual_hours,sla_utilization,breach_probability,risk_level
SHIP-2026-02483,30,1210.23,40.341,0.809,CRITICAL
SHIP-2026-02484,20,773.12,38.656,0.842,CRITICAL
SHIP-2026-02485,112,268.75,2.4,0.985,CRITICAL
SHIP-2026-02486,27,1320.37,48.903,0.959,CRITICAL
SHIP-2026-02487,73,24.58,0.337,0.118,LOW
SHIP-2026-02488,79,891.65,11.287,0.901,CRITICAL
SHIP-2026-02489,72,600.02,8.334,0.899,CRITICAL
SHIP-2026-02490,74,1047.2,14.151,0.949,CRITICAL
SHIP-2026-02491,77,839.35,10.901,0.729,HIGH
SHIP-2026-02492,84,583.03,6.941,0.79,CRITICAL
SHIP-2026-02493,30,171.77,5.726,0.808,CRITICAL
SHIP-2026-02494,68,141.63,2.083,0.923,CRITICAL
SHIP-2026-02495,59,1170.85,19.845,0.844,CRITICAL
SHIP-2026-02496,25,558.33,22.333,0.723,HIGH
SHIP-2026-02497,70,594.63,8.495,0.818,CRITICAL
SHIP-2026-02498,49,238.05,4.858,0.855,CRITICAL
SHIP-2026-02499,29,1072.15,36.971,0.839,CRITICAL
SHIP-2026-02500,87,1380.15,15.864,0.945,CRITICAL
SHIP-2026-02501,93,1372.48,14.758,0.833,CRITICAL
SHIP-2026-02502,69,1447.37,20.976,0.906,CRITICAL
SHIP-2026-02503,50,862.35,17.247,0.849,CRITICAL
SHIP-2026-02504,28,546.02,19.501,0.871,CRITICAL
SHIP-2026-02505,23,715.18,31.095,0.842,CRITICAL
SHIP-2026-02506,102,209.25,2.051,0.881,CRITICAL
SHIP-2026-02507,33,1372.6,41.594,0.822,CRITICAL
SHIP-2026-02508,60,992.57,16.543,0.849,CRITICAL
SHIP-2026-02509,49,1271.97,25.959,0.99,CRITICAL
SHIP-2026-02510,92,685.23,7.448,0.879,CRITICAL
SHIP-2026-02511,79,360.38,4.562,0.911,CRITICAL
SHIP-2026-02512,29,391.37,13.496,0.831,CRITICAL
SHIP-2026-02513,91,1155.78,12.701,0.831,CRITICAL
SHIP-2026-02514,74,780.9,10.553,0.902,CRITICAL
SHIP-2026-02515,48,410.98,8.562,0.854,CRITICAL
SHIP-2026-02516,102,734.88,7.205,0.99,CRITICAL
SHIP-2026-02517,37,61.98,1.675,0.882,CRITICAL
SHIP-2026-02518,109,370.92,3.403,0.825,CRITICAL
SHIP-2026-02519,37,844.12,22.814,0.871,CRITICAL
SHIP-2026-02520,35,536.6,15.331,0.814,CRITICAL
SHIP-2026-02521,27,1179.1,43.67,0.829,CRITICAL
SHIP-2026-02522,46,360.9,7.846,0.932,CRITICAL
SHIP-2026-02523,43,1106.55,25.734,0.785,CRITICAL
SHIP-2026-02524,27,384.37,14.236,0.925,CRITICAL
SHIP-2026-02525,106,1259.32,11.88,0.822,CRITICAL
SHIP-2026-02526,66,190.42,2.885,0.79,CRITICAL
SHIP-2026-02527,64,219.75,3.434,0.935,CRITICAL
SHIP-2026-02528,95,241.73,2.545,0.808,CRITICAL
SHIP-2026-02529,108,48.22,0.446,0.113,LOW
SHIP-2026-02530,34,1131.62,33.283,0.761,CRITICAL
SHIP-2026-02531,81,1348.8,16.652,0.726,HIGH
SHIP-2026-02532,30,1316.48,43.883,0.841,CRITICAL
SHIP-2026-02533,87,326.35,3.751,0.963,CRITICAL
SHIP-2026-02534,50,856.72,17.134,0.934,CRITICAL
SHIP-2026-02535,31,913.75,29.476,0.832,CRITICAL
SHIP-2026-02536,46,862.53,18.751,0.792,CRITICAL
SHIP-2026-02537,82,399.52,4.872,0.903,CRITICAL
SHIP-2026-02538,28,685.58,24.485,0.827,CRITICAL
SHIP-2026-02539,46,1055.75,22.951,0.832,CRITICAL
SHIP-2026-02540,55,992.7,18.049,0.891,CRITICAL
SHIP-2026-02541,33,243.42,7.376,0.812,CRITICAL
SHIP-2026-02542,25,396.7,15.868,0.779,CRITICAL
SHIP-2026-02543,21,958.12,45.625,0.812,CRITICAL
SHIP-2026-02544,84,95.12,1.132,0.87,CRITICAL
SHIP-2026-02545,21,720.22,34.296,0.846,CRITICAL
SHIP-2026-02546,39,1079.73,27.685,0.898,CRITICAL
SHIP-2026-02547,104,770.23,7.406,0.89,CRITICAL
SHIP-2026-02548,26,487.03,18.732,0.95,CRITICAL
SHIP-2026-02549,60,1174.58,19.576,0.99,CRITICAL
SHIP-2026-02550,82,473.08,5.769,0.893,CRITICAL
SHIP-2026-02551,45,388.52,8.634,0.774,CRITICAL
SHIP-2026-02552,102,377.35,3.7,0.813,CRITICAL
SHIP-2026-02553,61,1407.35,23.071,0.792,CRITICAL
SHIP-2026-02554,64,560.15,8.752,0.923,CRITICAL
SHIP-2026-02555,48,1116.02,23.25,0.807,CRITICAL
SHIP-2026-02556,28,1190.48,42.517,0.746,HIGH
SHIP-2026-02557,55,313.87,5.707,0.94,CRITICAL
SHIP-2026-02558,71,741.77,10.447,0.923,CRITICAL
SHIP-2026-02559,84,1181.93,14.071,0.878,CRITICAL
SHIP-2026-02560,38,577.17,15.189,0.777,CRITICAL
SHIP-2026-02561,38,281.55,7.409,0.842,CRITICAL
SHIP-2026-02562,120,192.47,1.604,0.902,CRITICAL
SHIP-2026-02563,18,1450.22,80.568,0.901,CRITICAL
SHIP-2026-02564,32,547.13,17.098,0.906,CRITICAL
SHIP-2026-02565,106,1232.55,11.628,0.825,CRITICAL
SHIP-2026-02566,114,1187.82,10.419,0.973,CRITICAL
SHIP-2026-02567,32,877.78,27.431,0.875,CRITICAL
SHIP-2026-02568,44,486.72,11.062,0.826,CRITICAL
SHIP-2026-02569,39,766.35,19.65,0.888,CRITICAL
SHIP-2026-02570,120,221.5,1.846,0.977,CRITICAL
SHIP-2026-02571,111,94.18,0.848,0.276,MEDIUM
SHIP-2026-02572,28,1283.68,45.846,0.801,CRITICAL
SHIP-2026-02573,58,241.82,4.169,0.825,CRITICAL
SHIP-2026-02574,79,1289.42,16.322,0.783,CRITICAL
SHIP-2026-02575,112,888.22,7.931,0.779,CRITICAL
SHIP-2026-02576,32,881.0,27.531,0.825,CRITICAL
SHIP-2026-02577,28,85.57,3.056,0.95,CRITICAL
SHIP-2026-02578,36,1422.47,39.513,0.794,CRITICAL
SHIP-2026-02579,92,894.22,9.72,0.772,CRITICAL
SHIP-2026-02580,81,871.9,10.764,0.766,CRITICAL
SHIP-2026-02581,57,377.0,6.614,0.848,CRITICAL
SHIP-2026-02582,36,77.93,2.165,0.835,CRITICAL
SHIP-2026-02583,25,1147.23,45.889,0.829,CRITICAL
SHIP-2026-02584,31,1386.12,44.714,0.963,CRITICAL
SHIP-2026-02585,24,205.75,8.573,0.929,CRITICAL
SHIP-2026-02586,25,860.32,34.413,0.816,CRITICAL
SHIP-2026-02587,112,1104.53,9.862,0.944,CRITICAL
SHIP-2026-02588,85,1165.9,13.716,0.917,CRITICAL
SHIP-2026-02589,48,245.82,5.121,0.8,CRITICAL
SHIP-2026-02590,91,401.6,4.413,0.903,CRITICAL
SHIP-2026-02591,64,366.18,5.722,0.947,CRITICAL
SHIP-2026-02592,95,1388.85,14.619,0.841,CRITICAL
SHIP-2026-02593,50,442.83,8.857,0.839,CRITICAL
SHIP-2026-02594,34,942.8,27.729,0.808,CRITICAL
SHIP-2026-02595,103,1397.62,13.569,0.99,CRITICAL
SHIP-2026-02596,93,200.8,2.159,0.823,CRITICAL
SHIP-2026-02597,110,499.63,4.542,0.842,CRITICAL
SHIP-2026-02598,51,606.07,11.884,0.943,CRITICAL
SHIP-2026-02599,60,1392.4,23.207,0.752,CRITICAL
SHIP-2026-02600,34,523.83,15.407,0.911,CRITICAL
SHIP-2026-02601,21,159.38,7.59,0.846,CRITICAL
SHIP-2026-02602,47,237.9,5.062,0.815,CRITICAL
SHIP-2026-02603,103,1056.93,10.261,0.99,CRITICAL
SHIP-2026-02604,41,1031.93,25.169,0.979,CRITICAL
SHIP-2026-02605,56,262.1,4.68,0.812,CRITICAL
SHIP-2026-02606,119,152.22,1.279,0.912,CRITICAL
SHIP-2026-02607,95,806.52,8.49,0.99,CRITICAL
SHIP-2026-02608,58,574.78,9.91,0.809,CRITICAL
SHIP-2026-02609,69,1073.83,15.563,0.89,CRITICAL
SHIP-2026-02610,27,61.52,2.279,0.94,CRITICAL
SHIP-2026-02611,67,906.58,13.531,0.888,CRITICAL
SHIP-2026-02612,16,1097.7,68.606,0.818,CRITICAL
SHIP-2026-02613,113,1186.73,10.502,0.83,CRITICAL
SHIP-2026-02614,28,1144.28,40.867,0.982,CRITICAL
SHIP-2026-02615,43,1340.92,31.184,0.934,CRITICAL
SHIP-2026-02616,59,275.0,4.661,0.831,CRITICAL
SHIP-2026-02617,74,677.58,9.156,0.811,CRITICAL
SHIP-2026-02618,29,1301.83,44.891,0.823,CRITICAL
SHIP-2026-02619,87,1200.63,13.8,0.99,CRITICAL
SHIP-2026-02620,90,636.0,7.067,0.879,CRITICAL
SHIP-2026-02621,105,266.5,2.538,0.84,CRITICAL
SHIP-2026-02622,44,1130.6,25.695,0.912,CRITICAL
SHIP-2026-02623,90,470.08,5.223,0.882,CRITICAL
SHIP-2026-02624,32,1432.15,44.755,0.76,CRITICAL
SHIP-2026-02625,45,189.78,4.217,0.785,CRITICAL
SHIP-2026-02626,85,438.75,5.162,0.864,CRITICAL
SHIP-2026-02627,82,701.2,8.551,0.887,CRITICAL
SHIP-2026-02628,20,318.83,15.941,0.789,CRITICAL
SHIP-2026-02629,28,460.2,16.436,0.866,CRITICAL
SHIP-2026-02630,39,701.48,17.987,0.826,CRITICAL
SHIP-2026-02631,101,670.22,6.636,0.804,CRITICAL
SHIP-2026-02632,44,1226.5,27.875,0.808,CRITICAL
SHIP-2026-02633,78,955.6,12.251,0.802,CRITICAL
SHIP-2026-02634,58,847.47,14.612,0.887,CRITICAL
SHIP-2026-02635,39,419.45,10.755,0.821,CRITICAL
SHIP-2026-02636,69,251.92,3.651,0.896,CRITICAL
SHIP-2026-02637,120,858.03,7.15,0.99,CRITICAL
SHIP-2026-02638,74,984.0,13.297,0.741,HIGH
SHIP-2026-02639,50,266.42,5.328,0.881,CRITICAL
SHIP-2026-02640,65,818.27,12.589,0.824,CRITICAL
SHIP-2026-02641,116,350.53,3.022,0.801,CRITICAL
SHIP-2026-02642,74,1116.08,15.082,0.772,CRITICAL
SHIP-2026-02643,40,1310.13,32.753,0.915,CRITICAL
SHIP-2026-02644,46,1017.93,22.129,0.945,CRITICAL
SHIP-2026-02645,83,742.17,8.942,0.81,CRITICAL
SHIP-2026-02646,79,1001.4,12.676,0.939,CRITICAL
SHIP-2026-02647,75,505.23,6.736,0.945,CRITICAL
SHIP-2026-02648,46,615.68,13.384,0.841,CRITICAL
SHIP-2026-02649,74,287.18,3.881,0.868,CRITICAL
SHIP-2026-02650,75,1192.47,15.9,0.93,CRITICAL
SHIP-2026-02651,17,591.8,34.812,0.822,CRITICAL
SHIP-2026-02652,42,47.9,1.14,0.822,CRITICAL
SHIP-2026-02653,112,868.13,7.751,0.941,CRITICAL
SHIP-2026-02654,25,828.72,33.149,0.818,CRITICAL
SHIP-2026-02655,61,1154.42,18.925,0.99,CRITICAL
SHIP-2026-02656,47,1192.88,25.38,0.882,CRITICAL
SHIP-2026-02657,38,646.33,17.009,0.823,CRITICAL
SHIP-2026-02658,77,1128.57,14.657,0.758,CRITICAL
SHIP-2026-02659,107,240.22,2.245,0.871,CRITICAL
SHIP-2026-02660,72,477.67,6.634,0.724,HIGH
SHIP-2026-02661,81,36.63,0.452,0.084,LOW
SHIP-2026-02662,23,403.55,17.546,0.841,CRITICAL
SHIP-2026-02663,111,1222.72,11.015,0.914,CRITICAL
SHIP-2026-02664,120,596.4,4.97,0.803,CRITICAL
SHIP-2026-02665,62,596.9,9.627,0.99,CRITICAL
SHIP-2026-02666,117,302.82,2.588,0.947,CRITICAL
SHIP-2026-02667,117,673.22,5.754,0.817,CRITICAL
SHIP-2026-02668,56,604.55,10.796,0.844,CRITICAL
SHIP-2026-02669,60,1152.7,19.212,0.802,CRITICAL
SHIP-2026-02670,95,122.43,1.289,0.99,CRITICAL
SHIP-2026-02671,69,1239.42,17.963,0.941,CRITICAL
SHIP-2026-02672,73,939.48,12.87,0.83,CRITICAL
SHIP-2026-02673,36,416.22,11.562,0.903,CRITICAL
SHIP-2026-02674,42,1368.08,32.573,0.848,CRITICAL
SHIP-2026-02675,116,1019.22,8.786,0.865,CRITICAL
SHIP-2026-02676,53,559.0,10.547,0.832,CRITICAL
SHIP-2026-02677,16,948.68,59.292,0.766,CRITICAL
SHIP-2026-02678,71,214.32,3.019,0.745,HIGH
SHIP-2026-02679,39,1211.82,31.072,0.933,CRITICAL
SHIP-2026-02680,80,179.92,2.249,0.771,CRITICAL
SHIP-2026-02681,47,1462.42,31.115,0.845,CRITICAL
SHIP-2026-02682,30,588.85,19.628,0.859,CRITICAL
SHIP-2026-02683,86,570.32,6.632,0.926,CRITICAL
SHIP-2026-02684,43,283.55,6.594,0.799,CRITICAL
SHIP-2026-02685,72,636.07,8.834,0.915,CRITICAL
SHIP-2026-02686,62,954.97,15.403,0.793,CRITICAL
SHIP-2026-02687,55,1169.78,21.269,0.801,CRITICAL
SHIP-2026-02688,38,565.0,14.868,0.99,CRITICAL
SHIP-2026-02689,60,154.2,2.57,0.787,CRITICAL
SHIP-2026-02690,93,0.0,0.0,0.15,LOW
SHIP-2026-02691,83,1291.77,15.563,0.752,CRITICAL
SHIP-2026-02692,62,1122.07,18.098,0.99,CRITICAL
SHIP-2026-02693,47,1388.88,29.551,0.804,CRITICAL
SHIP-2026-02694,96,263.83,2.748,0.99,CRITICAL
SHIP-2026-02695,65,797.23,12.265,0.849,CRITICAL
SHIP-2026-02696,44,944.58,21.468,0.969,CRITICAL
SHIP-2026-02697,34,1344.08,39.532,0.866,CRITICAL
SHIP-2026-02698,97,160.45,1.654,0.767,CRITICAL
SHIP-2026-02699,51,369.52,7.245,0.835,CRITICAL
SHIP-2026-02700,89,741.65,8.333,0.934,CRITICAL
SHIP-2026-02701,76,750.68,9.877,0.759,CRITICAL
SHIP-2026-02702,44,138.8,3.155,0.926,CRITICAL
SHIP-2026-02703,80,894.55,11.182,0.948,CRITICAL
SHIP-2026-02704,77,1233.9,16.025,0.772,CRITICAL
SHIP-2026-02705,64,648.47,10.132,0.99,CRITICAL
SHIP-2026-02706,34,1416.73,41.669,0.975,CRITICAL
SHIP-2026-02707,58,1414.58,24.389,0.815,CRITICAL
SHIP-2026-02708,49,1337.62,27.298,0.906,CRITICAL
SHIP-2026-02709,25,914.58,36.583,0.85,CRITICAL
SHIP-2026-02710,36,494.27,13.73,0.855,CRITICAL
SHIP-2026-02711,26,1404.05,54.002,0.867,CRITICAL
SHIP-2026-02712,61,895.95,14.688,0.891,CRITICAL
SHIP-2026-02713,119,824.02,6.925,0.902,CRITICAL
SHIP-2026-02714,29,1038.62,35.814,0.756,CRITICAL
SHIP-2026-02715,58,1040.67,17.943,0.811,CRITICAL
SHIP-2026-02716,69,485.63,7.038,0.924,CRITICAL
SHIP-2026-02717,44,1326.77,30.154,0.886,CRITICAL
SHIP-2026-02718,66,926.32,14.035,0.99,CRITICAL
SHIP-2026-02719,51,791.63,15.522,0.945,CRITICAL
SHIP-2026-02720,33,934.65,28.323,0.882,CRITICAL
SHIP-2026-02721,30,309.9,10.33,0.814,CRITICAL
SHIP-2026-02722,87,824.58,9.478,0.99,CRITICAL
SHIP-2026-02723,60,1011.12,16.852,0.854,CRITICAL
SHIP-2026-02724,20,34.23,1.711,0.767,CRITICAL
SHIP-2026-02725,75,1088.3,14.511,0.829,CRITICAL
SHIP-2026-02726,84,674.3,8.027,0.83,CRITICAL
SHIP-2026-02727,51,1359.85,26.664,0.751,CRITICAL
SHIP-2026-02728,120,1074.4,8.953,0.94,CRITICAL
SHIP-2026-02729,20,1145.32,57.266,0.828,CRITICAL
SHIP-2026-02730,59,804.05,13.628,0.946,CRITICAL
SHIP-2026-02731,34,373.88,10.996,0.99,CRITICAL
SHIP-2026-02732,25,953.62,38.145,0.804,CRITICAL
SHIP-2026-02733,73,1247.25,17.086,0.845,CRITICAL
SHIP-2026-02734,43,262.2,6.098,0.915,CRITICAL
SHIP-2026-02735,27,884.87,32.773,0.812,CRITICAL
SHIP-2026-02736,52,543.98,10.461,0.723,HIGH
SHIP-2026-02737,57,455.58,7.993,0.874,CRITICAL
SHIP-2026-02738,28,840.67,30.024,0.894,CRITICAL
SHIP-2026-02739,42,441.8,10.519,0.878,CRITICAL
SHIP-2026-02740,51,183.65,3.601,0.876,CRITICAL
SHIP-2026-02741,24,1237.1,51.546,0.803,CRITICAL
SHIP-2026-02742,16,9.47,0.592,0.144,LOW
SHIP-2026-02743,58,299.85,5.17,0.937,CRITICAL
SHIP-2026-02744,102,1032.07,10.118,0.816,CRITICAL
SHIP-2026-02745,70,493.05,7.044,0.887,CRITICAL
SHIP-2026-02746,65,393.07,6.047,0.917,CRITICAL
SHIP-2026-02747,41,1092.27,26.641,0.883,CRITICAL
SHIP-2026-02748,86,503.48,5.854,0.728,HIGH
SHIP-2026-02749,54,1318.42,24.415,0.821,CRITICAL
SHIP-2026-02750,74,1354.75,18.307,0.801,CRITICAL
SHIP-2026-02751,31,1046.05,33.744,0.828,CRITICAL
SHIP-2026-02752,63,360.85,5.728,0.824,CRITICAL
SHIP-2026-02753,84,751.22,8.943,0.918,CRITICAL
SHIP-2026-02754,88,876.3,9.958,0.958,CRITICAL
SHIP-2026-02755,81,1260.98,15.568,0.925,CRITICAL
SHIP-2026-02756,49,687.97,14.04,0.815,CRITICAL
SHIP-2026-02757,69,52.25,0.757,0.432,MEDIUM
SHIP-2026-02758,25,109.65,4.386,0.907,CRITICAL
SHIP-2026-02759,116,321.52,2.772,0.807,CRITICAL
SHIP-2026-02760,79,1258.92,15.936,0.883,CRITICAL
SHIP-2026-02761,73,1406.33,19.265,0.942,CRITICAL
SHIP-2026-02762,79,24.75,0.313,0.078,LOW
SHIP-2026-02763,65,277.67,4.272,0.853,CRITICAL
SHIP-2026-02764,97,702.22,7.239,0.782,CRITICAL
SHIP-2026-02765,72,1119.02,15.542,0.99,CRITICAL
SHIP-2026-02766,29,577.35,19.909,0.945,CRITICAL
SHIP-2026-02767,94,1105.67,11.762,0.748,HIGH
SHIP-2026-02768,49,45.68,0.932,0.51,HIGH
SHIP-2026-02769,58,628.38,10.834,0.864,CRITICAL
SHIP-2026-02770,74,382.42,5.168,0.737,HIGH
SHIP-2026-02771,42,1106.3,26.34,0.864,CRITICAL
SHIP-2026-02772,32,910.82,28.463,0.823,CRITICAL
SHIP-2026-02773,72,66.78,0.927,0.691,HIGH
SHIP-2026-02774,101,229.82,2.275,0.803,CRITICAL
SHIP-2026-02775,81,1380.1,17.038,0.935,CRITICAL
SHIP-2026-02776,45,850.23,18.894,0.822,CRITICAL
SHIP-2026-02777,35,1150.97,32.885,0.831,CRITICAL
SHIP-2026-02778,64,284.17,4.44,0.827,CRITICAL
SHIP-2026-02779,43,326.55,7.594,0.85,CRITICAL
SHIP-2026-02780,101,592.05,5.862,0.803,CRITICAL
SHIP-2026-02781,77,470.78,6.114,0.843,CRITICAL
SHIP-2026-02782,21,781.72,37.225,0.938,CRITICAL
SHIP-2026-02783,43,1315.9,30.602,0.944,CRITICAL
SHIP-2026-02784,56,868.43,15.508,0.856,CRITICAL
SHIP-2026-02785,39,538.77,13.815,0.84,CRITICAL
SHIP-2026-02786,79,490.8,6.213,0.821,CRITICAL
SHIP-2026-02787,67,733.28,10.944,0.908,CRITICAL
SHIP-2026-02788,62,453.05,7.307,0.865,CRITICAL
SHIP-2026-02789,35,221.95,6.341,0.99,CRITICAL
SHIP-2026-02790,44,222.2,5.05,0.754,CRITICAL
SHIP-2026-02791,27,1263.92,46.812,0.888,CRITICAL
SHIP-2026-02792,119,67.32,0.566,0.072,LOW
SHIP-2026-02793,119,70.35,0.591,0.108,LOW
SHIP-2026-02794,65,1130.22,17.388,0.797,CRITICAL
SHIP-2026-02795,69,1338.93,19.405,0.864,CRITICAL
SHIP-2026-02796,66,323.4,4.9,0.77,CRITICAL
SHIP-2026-02797,32,323.8,10.119,0.804,CRITICAL
SHIP-2026-02798,45,764.67,16.993,0.99,CRITICAL
SHIP-2026-02799,53,1021.0,19.264,0.923,CRITICAL
SHIP-2026-02800,49,131.97,2.693,0.758,CRITICAL
SHIP-2026-02801,75,936.48,12.486,0.931,CRITICAL
SHIP-2026-02802,42,1022.5,24.345,0.797,CRITICAL
SHIP-2026-02803,75,112.95,1.506,0.99,CRITICAL
SHIP-2026-02804,65,1291.33,19.867,0.843,CRITICAL
SHIP-2026-02805,80,247.68,3.096,0.829,CRITICAL
SHIP-2026-02806,51,1099.8,21.565,0.863,CRITICAL
SHIP-2026-02807,48,1310.2,27.296,0.821,CRITICAL
SHIP-2026-02808,48,136.98,2.854,0.942,CRITICAL
SHIP-2026-02809,30,1356.87,45.229,0.74,HIGH
SHIP-2026-02810,40,1420.25,35.506,0.838,CRITICAL
SHIP-2026-02811,111,952.62,8.582,0.865,CRITICAL
SHIP-2026-02812,34,1093.33,32.157,0.788,CRITICAL
SHIP-2026-02813,56,690.33,12.327,0.773,CRITICAL
SHIP-2026-02814,77,486.62,6.32,0.783,CRITICAL
SHIP-2026-02815,106,770.37,7.268,0.896,CRITICAL
SHIP-2026-02816,24,252.87,10.536,0.916,CRITICAL
SHIP-2026-02817,30,1324.02,44.134,0.902,CRITICAL
SHIP-2026-02818,52,267.98,5.153,0.883,CRITICAL
SHIP-2026-02819,75,234.68,3.129,0.813,CRITICAL
SHIP-2026-02820,30,999.0,33.3,0.926,CRITICAL
SHIP-2026-02821,71,892.23,12.567,0.99,CRITICAL
SHIP-2026-02822,18,430.53,23.918,0.838,CRITICAL
SHIP-2026-02823,32,1090.03,34.063,0.741,HIGH
SHIP-2026-02824,88,550.47,6.255,0.942,CRITICAL
SHIP-2026-02825,47,154.35,3.284,0.836,CRITICAL
SHIP-2026-02826,75,532.68,7.102,0.864,CRITICAL
SHIP-2026-02827,48,57.38,1.195,0.922,CRITICAL
SHIP-2026-02828,51,1359.05,26.648,0.99,CRITICAL
SHIP-2026-02829,51,300.57,5.894,0.784,CRITICAL
SHIP-2026-02830,68,1358.65,19.98,0.888,CRITICAL
SHIP-2026-02831,74,541.53,7.318,0.9,CRITICAL
SHIP-2026-02832,91,1261.77,13.866,0.913,CRITICAL
SHIP-2026-02833,74,1444.65,19.522,0.808,CRITICAL
SHIP-2026-02834,87,903.38,10.384,0.923,CRITICAL
SHIP-2026-02835,81,780.58,9.637,0.92,CRITICAL
SHIP-2026-02836,87,851.97,9.793,0.96,CRITICAL
SHIP-2026-02837,75,458.4,6.112,0.74,HIGH
SHIP-2026-02838,56,1236.02,22.072,0.734,HIGH
SHIP-2026-02839,51,287.12,5.63,0.724,HIGH
SHIP-2026-02840,86,431.98,5.023,0.928,CRITICAL
SHIP-2026-02841,106,5.95,0.056,0.127,LOW
SHIP-2026-02842,28,993.95,35.498,0.762,CRITICAL
SHIP-2026-02843,59,1057.75,17.928,0.739,HIGH
SHIP-2026-02844,68,47.13,0.693,0.34,MEDIUM
SHIP-2026-02845,37,288.85,7.807,0.838,CRITICAL
SHIP-2026-02846,25,185.95,7.438,0.733,HIGH
SHIP-2026-02847,21,637.07,30.337,0.901,CRITICAL
SHIP-2026-02848,37,1225.13,33.112,0.846,CRITICAL
SHIP-2026-02849,28,102.77,3.67,0.812,CRITICAL
SHIP-2026-02850,83,159.92,1.927,0.835,CRITICAL
SHIP-2026-02851,41,176.3,4.3,0.827,CRITICAL
SHIP-2026-02852,65,468.97,7.215,0.922,CRITICAL
SHIP-2026-02853,53,852.25,16.08,0.904,CRITICAL
SHIP-2026-02854,44,1387.67,31.538,0.943,CRITICAL
SHIP-2026-02855,67,584.85,8.729,0.879,CRITICAL
SHIP-2026-02856,79,287.85,3.644,0.806,CRITICAL
SHIP-2026-02857,58,1361.42,23.473,0.914,CRITICAL
SHIP-2026-02858,70,1159.23,16.56,0.753,CRITICAL
SHIP-2026-02859,23,1047.3,45.535,0.755,CRITICAL
SHIP-2026-02860,35,1074.48,30.699,0.815,CRITICAL
SHIP-2026-02861,61,1342.0,22.0,0.852,CRITICAL
SHIP-2026-02862,28,997.45,35.623,0.848,CRITICAL
SHIP-2026-02863,42,1126.57,26.823,0.932,CRITICAL
SHIP-2026-02864,46,1442.27,31.354,0.85,CRITICAL
SHIP-2026-02865,32,761.07,23.783,0.853,CRITICAL
SHIP-2026-02866,74,202.8,2.741,0.919,CRITICAL
SHIP-2026-02867,98,383.07,3.909,0.98,CRITICAL
SHIP-2026-02868,35,77.2,2.206,0.792,CRITICAL
SHIP-2026-02869,87,1414.02,16.253,0.949,CRITICAL
SHIP-2026-02870,76,153.83,2.024,0.765,CRITICAL
SHIP-2026-02871,44,104.33,2.371,0.838,CRITICAL
SHIP-2026-02872,118,1375.22,11.654,0.837,CRITICAL
SHIP-2026-02873,81,49.33,0.609,0.265,MEDIUM
SHIP-2026-02874,75,83.4,1.112,0.953,CRITICAL
SHIP-2026-02875,32,401.32,12.541,0.888,CRITICAL
SHIP-2026-02876,41,280.4,6.839,0.901,CRITICAL
SHIP-2026-02877,23,1041.35,45.276,0.841,CRITICAL
SHIP-2026-02878,40,648.18,16.204,0.853,CRITICAL
SHIP-2026-02879,24,1129.77,47.074,0.734,HIGH
SHIP-2026-02880,79,967.28,12.244,0.864,CRITICAL
SHIP-2026-02881,81,540.88,6.678,0.931,CRITICAL
SHIP-2026-02882,18,1258.6,69.922,0.828,CRITICAL
SHIP-2026-02883,53,1340.53,25.293,0.751,CRITICAL
SHIP-2026-02884,39,731.23,18.749,0.845,CRITICAL
SHIP-2026-02885,17,1184.98,69.705,0.929,CRITICAL
SHIP-2026-02886,53,858.73,16.202,0.918,CRITICAL
SHIP-2026-02887,34,438.93,12.91,0.741,HIGH
SHIP-2026-02888,72,154.5,2.146,0.906,CRITICAL
SHIP-2026-02889,33,488.22,14.795,0.894,CRITICAL
SHIP-2026-02890,18,627.42,34.857,0.739,HIGH
SHIP-2026-02891,67,155.92,2.327,0.84,CRITICAL
SHIP-2026-02892,73,1070.08,14.659,0.913,CRITICAL
SHIP-2026-02893,96,87.73,0.914,0.609,HIGH
SHIP-2026-02894,82,1263.58,15.41,0.91,CRITICAL
SHIP-2026-02895,53,172.12,3.248,0.892,CRITICAL
SHIP-2026-02896,77,500.28,6.497,0.762,CRITICAL
SHIP-2026-02897,43,1164.22,27.075,0.934,CRITICAL
SHIP-2026-02898,44,6.42,0.146,0.145,LOW
SHIP-2026-02899,49,1068.75,21.811,0.848,CRITICAL
SHIP-2026-02900,85,1049.23,12.344,0.932,CRITICAL
SHIP-2026-02901,53,149.37,2.818,0.99,CRITICAL
SHIP-2026-02902,90,883.28,9.814,0.886,CRITICAL
SHIP-2026-02903,54,416.22,7.708,0.868,CRITICAL
SHIP-2026-02904,49,433.87,8.854,0.854,CRITICAL
SHIP-2026-02905,72,1333.52,18.521,0.849,CRITICAL
SHIP-2026-02906,93,9.62,0.103,0.115,LOW
SHIP-2026-02907,58,989.95,17.068,0.845,CRITICAL
SHIP-2026-02908,63,1409.03,22.366,0.946,CRITICAL
SHIP-2026-02909,73,174.27,2.387,0.947,CRITICAL
SHIP-2026-02910,63,322.2,5.114,0.844,CRITICAL
SHIP-2026-02911,26,329.4,12.669,0.759,CRITICAL
SHIP-2026-02912,29,174.93,6.032,0.798,CRITICAL
SHIP-2026-02913,47,1382.7,29.419,0.982,CRITICAL
SHIP-2026-02914,43,209.48,4.872,0.99,CRITICAL
SHIP-2026-02915,72,663.9,9.221,0.88,CRITICAL
SHIP-2026-02916,78,377.83,4.844,0.811,CRITICAL
